row_type,category,subcategory,supplier_name,contract_id,request_title,contract_end_date,months_to_expiry,estimated_spend_usd,implementation_timeline_months,preferred_supplier_status
renewal,IT Infrastructure,IT Infrastructure - Network Hardware & Managed Services,Hcl Technologies Corporate Services,C2025035526,,2026-07-31,3,509976,,allowed
renewal,IT Infrastructure,IT Infrastructure - Security & Risk Mgt.,Ionix Inc,C2025051348,,2028-04-01,24,1025275,,allowed
renewal,IT Infrastructure,IT Infrastructure - Data Center Hardware & Services,"Intelice Solutions, Llc",C2020013103,,2026-06-30,2,122616,,allowed
new_business,IT Infrastructure,IT Infrastructure - Personal Productivity Solutions,,,Video Conferencing Platform Rollout,,,1700000,8,preferred
renewal,IT Infrastructure,IT Infrastructure - Help Desk Services,"Nexthink, Inc.",C2017015775,,2027-12-31,21,3000000,,allowed
renewal,IT Infrastructure,IT Infrastructure - Security & Risk Mgt.,Axonius Inc.,C2024019484,,2027-11-05,19,1500000,,allowed
new_business,IT Infrastructure,IT Infrastructure - Personal Computers,,,Thin Client Deployment,,,780000,6,preferred
renewal,IT Infrastructure,IT Infrastructure - Security & Risk Mgt.,"Access Information Management Of Georgia, Llc",C2024021314,,2027-12-31,21,70000,,allowed
renewal,IT Infrastructure,IT Infrastructure - Print Services,"Levi, Ray & Shoup, Inc.",C2020021753,,2027-11-16,19,1636990,,allowed
renewal,IT Infrastructure,IT Infrastructure - Network Hardware & Managed Services,Ntt United Kingdom Limited,C2023028632,,2026-12-31,8,1714604,,allowed
renewal,IT Infrastructure,IT Infrastructure - Data Center Hardware & Services,Sap America Inc,C2025049783,,2026-08-05,3,155446,,preferred
renewal,IT Infrastructure,IT Infrastructure - Mobile Communications Products and Services,Futura Mobility,C2022012369,,2027-03-23,11,2000000,,allowed
renewal,IT Infrastructure,IT Infrastructure - Print Services,Iron Mountain Informationmanagement,C2025053515,,2026-12-31,8,122000,,preferred
new_business,IT Infrastructure,IT Infrastructure - Data Center Hardware & Services,,,Server Refresh - EMEA Data Centres,,,2500000,9,allowed
renewal,IT Infrastructure,IT Infrastructure - Data Center Hardware & Services,Microage,C2024001990,,2027-12-31,21,1000000,,allowed
new_business,IT Infrastructure,IT Infrastructure - Network Transport Data/Voice,,,WAN Circuit Consolidation,,,1300000,9,allowed
new_business,IT Infrastructure,IT Infrastructure - Help Desk Services,,,Remote Support Services Expansion,,,1900000,7,preferred
renewal,IT Infrastructure,IT Infrastructure - Security & Risk Mgt.,Trend Micro Incorporated,C2023026900,,2026-12-16,8,675000,,allowed
renewal,IT Infrastructure,IT Infrastructure - Security & Risk Mgt.,Kapish Services Pty Ltd,C2025038077,,2028-04-14,24,550000,,allowed
new_business,IT Infrastructure,IT Infrastructure - Network Transport Data/Voice,,,Voice over IP Migration,,,820000,7,allowed
renewal,IT Infrastructure,IT Infrastructure - Network Hardware & Managed Services,"Eos It Management Solutions, Inc.",C2025035155,,2028-02-29,23,774486,,allowed
renewal,IT Infrastructure,IT Infrastructure - Network  Transport Data/Voice,中国电信股份有限公司上海分公司,C2024029067,,2027-12-26,20,52920,,allowed
new_business,IT Infrastructure,IT Infrastructure - Mobile Communications Products and Services,,,Enterprise Mobility Management,,,1350000,7,preferred
renewal,IT Infrastructure,IT Infrastructure - Security & Risk Mgt.,Zafran Security Inc,C2024016623,,2027-07-24,15,2950000,,allowed
new_business,IT Infrastructure,IT Infrastructure - Security & Risk Mgt.,,,Penetration Testing Services - EMEA,,,680000,4,allowed
new_business,IT Infrastructure,IT Infrastructure - Mobile Communications Products and Services,,,Smartphone Refresh Programme,,,890000,5,allowed
new_business,IT Infrastructure,IT Infrastructure - Network Hardware & Managed Services,,,Network Monitoring Tools Procurement,,,880000,5,allowed
renewal,IT Infrastructure,IT Infrastructure - Security & Risk Mgt.,Silverfort Inc,C2024013484,,2027-08-31,16,5000000,,allowed
renewal,IT Infrastructure,IT Infrastructure - Data Center Hardware & Services,Cognizant Worldwide Limited,C2024017194,,2026-08-01,3,4923322,,allowed
renewal,IT Infrastructure,IT Infrastructure - Network Hardware & Managed Services,Telesoft Llc,C2023005296,,2027-07-01,14,900000,,allowed
new_business,IT Infrastructure,IT Infrastructure - Security & Risk Mgt.,,,Zero Trust Network Access Implementation,,,5000000,8,allowed
new_business,IT Infrastructure,IT Infrastructure - Help Desk Services,,,PC Lifecycle Management Services,,,2700000,8,preferred
renewal,IT Infrastructure,IT Infrastructure - Network  Transport Data/Voice,Cox Business,C2024019788,,2027-07-31,15,200000,,allowed
new_business,IT Infrastructure,IT Infrastructure - Security & Risk Mgt.,,,SIEM Platform Consolidation,,,1750000,6,allowed
renewal,IT Infrastructure,IT Infrastructure - Print Services,Xerox Spa,C2023019338,,2027-08-22,16,58386,,allowed
new_business,IT Infrastructure,IT Infrastructure - Network Hardware & Managed Services,,,Campus Network Refresh,,,2100000,9,preferred
renewal,IT Infrastructure,IT Infrastructure - Personal Productivity Solutions,Microsoft Corporation,C2023001085,,2028-01-26,21,26356419,,preferred
renewal,IT Infrastructure,IT Infrastructure - Security & Risk Mgt.,Kapish Services Pty Ltd,C2025047887,,2028-04-14,24,550000,,allowed
renewal,IT Infrastructure,IT Infrastructure - Mobile Communications Products and Services,Iotspot B.V.,C2021021468,,2027-09-30,18,205341,,allowed
new_business,IT Infrastructure,IT Infrastructure - Data Center Hardware & Services,,,Hybrid Cloud Architecture Services,,,4500000,8.0,preferred
new_business,IT Infrastructure,IT Infrastructure - Network Hardware & Managed Services,,,SD-WAN Deployment - LATAM,,,1100000,8,allowed
renewal,IT Infrastructure,IT Infrastructure - Security & Risk Mgt.,Zafran Security Inc,C2025042120,,2026-07-24,3,1050000,,allowed
renewal,IT Infrastructure,IT Infrastructure - Security & Risk Mgt.,Access Information Management Of Ge,C2024018909,,2027-09-30,18,70000,,allowed
renewal,IT Infrastructure,IT Infrastructure - Data Center Hardware & Services,Beyondtrust Corporation,C2019018617,,2027-09-30,18,1800000,,allowed
renewal,IT Infrastructure,IT Infrastructure - Data Center Hardware & Services,Datalogix,C2020011324,,2026-05-31,1,880033,,allowed
renewal,IT Infrastructure,IT Infrastructure - Print Services,Ricoh Usa Inc,C2023014187,,2028-03-31,24,73100,,allowed
renewal,IT Infrastructure,IT Infrastructure - Network Hardware & Managed Services,Nsone Inc,C2023027152,,2026-12-31,8,241200,,allowed
new_business,IT Infrastructure,IT Infrastructure - Personal Productivity Solutions,,,E-Learning Platform Procurement,,,650000,5,allowed
renewal,IT Infrastructure,IT Infrastructure - Mobile Communications Products and Services,Att Corp,C2019022082,,2027-12-31,21,32000000,,allowed
